Name,Platform,Publisher,Developer,Total_Shipped,Year,,,,,,Critic_Score,User_Score
Wii Sports,Wii,Nintendo,Nintendo EAD,82.9,2006,,,,,,7.7,8
Super Mario Bros.,NES,Nintendo,Nintendo EAD,40.24,1985,,,,,,10,8.2
Counter-Strike: Global Offensive,PC,Valve,Valve Corporation,40,2012,,,,,,8,7.5
Mario Kart Wii,Wii,Nintendo,Nintendo EAD,37.32,2008,,,,,,8.2,9.1
PLAYERUNKNOWN'S BATTLEGROUNDS,PC,PUBG Corporation,PUBG Corporation,36.6,2017,,,,,,8.6,4.7
Minecraft,PC,Mojang,Mojang AB,33.15,2010,,,,,,10,7.8
Wii Sports Resort,Wii,Nintendo,Nintendo EAD,33.13,2009,,,,,,8,8.8
Pokemon Red / Green / Blue Version,GB,Nintendo,Game Freak,31.38,1998,,,,,,9.4,8.8
New Super Mario Bros.,DS,Nintendo,Nintendo EAD,30.8,2006,,,,,,9.1,8.1
New Super Mario Bros. Wii,Wii,Nintendo,Nintendo EAD,30.3,2009,,,,,,8.6,9.2
Tetris,GB,Nintendo,Bullet Proof Software,30.26,1989,,,,,,9.4,8.7
Call of Duty: Modern Warfare,PS4,Activision,Infinity Ward,30.13,2019,,,,,,8,3.3
Duck Hunt,NES,Nintendo,Nintendo R&D1,28.31,1985,,,,,,7.5,8.3
Wii Play,Wii,Nintendo,Nintendo EAD,28.02,2007,,,,,,5.9,6.5
Mario Kart 8 Deluxe,NS,Nintendo,Nintendo EPD,24.77,2017,,,,,,9.3,8.7
Kinect Adventures!,X360,Microsoft Game Studios,Good Science Studio,24,2010,,,,,,6.7,
Nintendogs,DS,Nintendo,Nintendo EAD,23.96,2005,,,,,,8.4,8.5
Mario Kart DS,DS,Nintendo,Nintendo EAD,23.6,2005,,,,,,9.1,9.4
Pokemon Gold / Silver Version,GB,Nintendo,Game Freak,23.1,2000,,,,,,9.2,8.8
Wii Fit,Wii,Nintendo,Nintendo EAD,22.67,2008,,,,,,7.9,
Wii Fit Plus,Wii,Nintendo,Nintendo EAD,21.13,2009,,,,,,8,
Super Mario World,SNES,Nintendo,Nintendo EAD,20.61,1991,,,,,,8.5,9.3
Grand Theft Auto V,PS3,Rockstar Games,Rockstar North,20.32,2013,,,,,,9.4,8.3
Grand Theft Auto V,PS4,Rockstar Games,Rockstar North,19.39,2014,,,,,,9.7,8.4
Brain Age: Train Your Brain in Minutes a Day,DS,Nintendo,Nintendo SDD,19.01,2006,,,,,,8.1,
Super Smash Bros. Ultimate,NS,Nintendo,Bandai Namco Games,18.84,2018,,,,,,9.4,9.7
Mario Kart 7,3DS,Nintendo,Nintendo EAD / Retro Studios,18.71,2011,,,,,,8.2,8.3
Super Mario Land,GB,Nintendo,Nintendo R&D1,18.14,1989,,,,,,,
Pokemon Diamond / Pearl Version,DS,Nintendo,Game Freak,17.67,2007,,,,,,8.6,
Super Mario Odyssey,NS,Nintendo,Nintendo EPD,17.41,2017,,,,,,9.9,9
The Legend of Zelda: Breath of the Wild,NS,Nintendo,Nintendo EPD,17.41,2017,,,,,,9.9,10
Pokemon Sword / Shield,NS,Nintendo,Game Freak,17.37,2019,,,,,,8,4.6
Grand Theft Auto: San Andreas,PS2,Rockstar Games,Rockstar North,17.3,2004,,,,,,9.5,9.1
Super Mario Bros. 3,NES,Nintendo,Nintendo R&D2,17.28,1990,,,,,,9.8,9.3
Garry's Mod,PC,Valve,Facepunch Studios,16.9,2006,,,,,,,
Pokemon X/Y,3DS,Nintendo,Game Freak,16.45,2013,,,,,,8.9,9.7
Uncharted 4: A Thief's End,PS4,Sony Interactive Entertainment,Naughty Dog,16.25,2016,,,,,,9.2,8.4
